MOTIVO_D;DURACAO;ds_origem_sigla;ds_origem_nome;ds_destino_sigla;ds_destino_nome
Trabalho Serviços;40;CLM;CAMPO LIMPO;CLM;CAMPO LIMPO
Trabalho Serviços;90;CLM;CAMPO LIMPO;INI;ITAIM BIBI
Trabalho Comércio;20;CLM;CAMPO LIMPO;VAN;VILA ANDRADE
Trabalho Serviços;70;CLM;CAMPO LIMPO;REP;REPUBLICA
Trabalho Indústria;90;CLM;CAMPO LIMPO;MAN;MANDAQUI
Trabalho Indústria;4;MAN;MANDAQUI;MAN;MANDAQUI
Trabalho Serviços;90;CLM;CAMPO LIMPO;VMN;VILA MARIANA
Trabalho Serviços;45;CLM;CAMPO LIMPO;BUT;BUTANTA
Trabalho Serviços;90;CLM;CAMPO LIMPO;JAB;JABAQUARA
Trabalho Comércio;70;CLM;CAMPO LIMPO;BVI;BELA VISTA
Trabalho Indústria;30;CLM;CAMPO LIMPO;fora_sp;Fora São Paulo
Trabalho Serviços;20;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;90;CLM;CAMPO LIMPO;JDP;JARDIM PAULISTA
Trabalho Serviços;4;JDP;JARDIM PAULISTA;JDP;JARDIM PAULISTA
Trabalho Serviços;20;CLM;CAMPO LIMPO;SAM;SANTO AMARO
Trabalho Indústria;30;CLM;CAMPO LIMPO;fora_sp;Fora São Paulo
Trabalho Indústria;90;CLM;CAMPO LIMPO;LAP;LAPA
Trabalho Serviços;80;CLM;CAMPO LIMPO;INI;ITAIM BIBI
Trabalho Indústria;40;CLM;CAMPO LIMPO;SAU;SAUDE
Trabalho Serviços;100;CLM;CAMPO LIMPO;VMN;VILA MARIANA
Trabalho Serviços;60;CLM;CAMPO LIMPO;PIN;PINHEIROS
Trabalho Serviços;60;CLM;CAMPO LIMPO;SAM;SANTO AMARO
Trabalho Serviços;40;CLM;CAMPO LIMPO;BVI;BELA VISTA
Trabalho Serviços;30;CLM;CAMPO LIMPO;PDR;PEDREIRA
Trabalho Serviços;30;CLM;CAMPO LIMPO;MOR;MORUMBI
Trabalho Serviços;60;MOR;MORUMBI;fora_sp;Fora São Paulo
Trabalho Serviços;60;CLM;CAMPO LIMPO;BUT;BUTANTA
Trabalho Serviços;60;CLM;CAMPO LIMPO;JDP;JARDIM PAULISTA
Trabalho Serviços;1;JDP;JARDIM PAULISTA;JDP;JARDIM PAULISTA
Trabalho Serviços;60;CLM;CAMPO LIMPO;INI;ITAIM BIBI
Trabalho Serviços;2;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;15;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;10;CLM;CAMPO LIMPO;VAN;VILA ANDRADE
Trabalho Serviços;10;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;5;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;5;MOR;MORUMBI;VSO;VILA SONIA
Trabalho Serviços;10;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Comércio;20;CLM;CAMPO LIMPO;SAM;SANTO AMARO
Trabalho Serviços;5;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;15;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;90;CLM;CAMPO LIMPO;JDP;JARDIM PAULISTA
Trabalho Comércio;80;CLM;CAMPO LIMPO;SAM;SANTO AMARO
Trabalho Comércio;40;CLM;CAMPO LIMPO;SAM;SANTO AMARO
Trabalho Comércio;20;CLM;CAMPO LIMPO;CLM;CAMPO LIMPO
Trabalho Serviços;10;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;3;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;5;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;30;CLM;CAMPO LIMPO;MOR;MORUMBI
Trabalho Serviços;30;CLM;CAMPO LIMPO;BUT;BUTANTA
Trabalho Serviços;30;CLM;CAMPO LIMPO;PIN;PINHEIROS
Trabalho Serviços;1;PIN;PINHEIROS;PIN;PINHEIROS
Trabalho Comércio;40;CLM;CAMPO LIMPO;CON;CONSOLACAO
Trabalho Serviços;20;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Serviços;20;CLM;CAMPO LIMPO;fora_sp;Fora São Paulo
Trabalho Serviços;60;CLM;CAMPO LIMPO;BVI;BELA VISTA
Trabalho Serviços;5;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Serviços;75;VSO;VILA SONIA;SAU;SAUDE
Trabalho Serviços;15;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Indústria;2;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Indústria;2;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;30;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;20;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;20;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;60;VSO;VILA SONIA;API;ALTO DE PINHEIROS
Trabalho Serviços;20;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;20;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;20;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;20;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;20;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;50;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;60;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;10;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;40;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;30;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;60;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;60;VSO;VILA SONIA;VPR;VILA PRUDENTE
Trabalho Serviços;50;VSO;VILA SONIA;VPR;VILA PRUDENTE
Trabalho Serviços;40;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;15;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;30;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Comércio;30;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Serviços;80;VSO;VILA SONIA;JAG;JAGUARA
Trabalho Comércio;70;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Comércio;2;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Comércio;2;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;2;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Indústria;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;MOE;MOEMA
Trabalho Serviços;5;INI;ITAIM BIBI;MOE;MOEMA
Trabalho Serviços;25;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;10;VSO;VILA SONIA;CLM;CAMPO LIMPO
Trabalho Serviços;10;CLM;CAMPO LIMPO;VSO;VILA SONIA
Trabalho Comércio;80;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Comércio;8;BUT;BUTANTA;BUT;BUTANTA
Trabalho Serviços;30;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;30;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;40;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;5;PIN;PINHEIROS;PIN;PINHEIROS
Trabalho Serviços;30;VSO;VILA SONIA;CBE;CAMPO BELO
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;60;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;50;VSO;VILA SONIA;JAB;JABAQUARA
Trabalho Serviços;40;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;30;VSO;VILA SONIA;CLM;CAMPO LIMPO
Trabalho Serviços;30;VSO;VILA SONIA;CLM;CAMPO LIMPO
Trabalho Indústria;40;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Indústria;5;PIN;PINHEIROS;PIN;PINHEIROS
Trabalho Indústria;30;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Indústria;5;PIN;PINHEIROS;PIN;PINHEIROS
Trabalho Serviços;50;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;1;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;15;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;15;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;30;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Indústria;55;VAN;VILA ANDRADE;fora_sp;Fora São Paulo
Trabalho Serviços;75;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Comércio;45;VSO;VILA SONIA;MOE;MOEMA
Trabalho Serviços;60;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Serviços;5;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Serviços;10;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;10;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;60;VSO;VILA SONIA;CBE;CAMPO BELO
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;100;VSO;VILA SONIA;ITQ;ITAQUERA
Trabalho Serviços;50;VSO;VILA SONIA;RPE;RIO PEQUENO
Trabalho Serviços;50;VSO;VILA SONIA;RPE;RIO PEQUENO
Trabalho Serviços;50;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;40;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Serviços;30;BVI;BELA VISTA;SAM;SANTO AMARO
Trabalho Serviços;40;VSO;VILA SONIA;CON;CONSOLACAO
Trabalho Serviços;5;CON;CONSOLACAO;CON;CONSOLACAO
Trabalho Serviços;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;20;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Serviços;5;SAM;SANTO AMARO;SAM;SANTO AMARO
Trabalho Comércio;30;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;20;VSO;VILA SONIA;MOE;MOEMA
Trabalho Serviços;30;VSO;VILA SONIA;RTA;RAPOSO TAVARES
Trabalho Serviços;35;RTA;RAPOSO TAVARES;JDP;JARDIM PAULISTA
Trabalho Serviços;10;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Comércio;30;VAN;VILA ANDRADE;CLM;CAMPO LIMPO
Trabalho Serviços;30;CLM;CAMPO LIMPO;VAN;VILA ANDRADE
Trabalho Comércio;20;VSO;VILA SONIA;CLM;CAMPO LIMPO
Trabalho Serviços;10;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;75;VSO;VILA SONIA;BFU;BARRA FUNDA
Trabalho Serviços;10;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;60;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Indústria;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;50;VSO;VILA SONIA;VMN;VILA MARIANA
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Comércio;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;50;VSO;VILA SONIA;LIB;LIBERDADE
Trabalho Serviços;60;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;25;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;15;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;10;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Indústria;75;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;30;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;30;VAN;VILA ANDRADE;INI;ITAIM BIBI
Trabalho Serviços;60;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Indústria;120;VSO;VILA SONIA;VMR;VILA MARIA
Trabalho Serviços;45;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Serviços;5;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Indústria;30;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Serviços;50;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Comércio;30;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;30;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;25;BUT;BUTANTA;MOR;MORUMBI
Trabalho Serviços;20;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;15;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;10;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;10;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;20;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;25;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;30;BUT;BUTANTA;CBE;CAMPO BELO
Trabalho Serviços;32;CBE;CAMPO BELO;BUT;BUTANTA
Trabalho Serviços;25;VSO;VILA SONIA;CBE;CAMPO BELO
Trabalho Serviços;60;VSO;VILA SONIA;SAU;SAUDE
Trabalho Serviços;1;SAU;SAUDE;SAU;SAUDE
Trabalho Serviços;60;VSO;VILA SONIA;SEE;SE
Trabalho Serviços;3;SEE;SE;SEE;SE
Trabalho Serviços;35;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;50;VSO;VILA SONIA;CON;CONSOLACAO
Trabalho Indústria;15;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Indústria;30;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Indústria;15;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;10;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Comércio;10;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Comércio;20;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;50;VSO;VILA SONIA;LIB;LIBERDADE
Trabalho Serviços;2;LIB;LIBERDADE;LIB;LIBERDADE
Trabalho Serviços;10;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;5;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Comércio;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Comércio;3;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Indústria;50;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Indústria;3;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Serviços;20;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;50;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;30;VSO;VILA SONIA;MOE;MOEMA
Trabalho Serviços;50;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;45;VSO;VILA SONIA;PRD;PERDIZES
Trabalho Serviços;4;PRD;PERDIZES;PRD;PERDIZES
Trabalho Serviços;25;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;3;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;60;VSO;VILA SONIA;CLM;CAMPO LIMPO
Trabalho Comércio;30;VSO;VILA SONIA;CLM;CAMPO LIMPO
Trabalho Serviços;10;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Comércio;60;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Serviços;30;VSO;VILA SONIA;RTA;RAPOSO TAVARES
Trabalho Serviços;10;RTA;RAPOSO TAVARES;RTA;RAPOSO TAVARES
Trabalho Serviços;15;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;50;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;3;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Indústria;25;JDP;JARDIM PAULISTA;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;CBE;CAMPO BELO
Trabalho Serviços;25;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;40;VSO;VILA SONIA;REP;REPUBLICA
Trabalho Indústria;50;VSO;VILA SONIA;BRE;BOM RETIRO
Trabalho Indústria;5;BRE;BOM RETIRO;BRE;BOM RETIRO
Trabalho Serviços;30;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;20;VSO;VILA SONIA;BUT;BUTANTA
Trabalho Serviços;20;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Indústria;60;VSO;VILA SONIA;SAC;SACOMA
Trabalho Serviços;20;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;20;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;50;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Indústria;20;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;40;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Indústria;50;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;40;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;5;BVI;BELA VISTA;BVI;BELA VISTA
Trabalho Serviços;25;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;5;PIN;PINHEIROS;PIN;PINHEIROS
Trabalho Serviços;20;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;25;PIN;PINHEIROS;JDP;JARDIM PAULISTA
Trabalho Serviços;50;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Indústria;45;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Indústria;35;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Indústria;5;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;30;VSO;VILA SONIA;JRE;JAGUARE
Trabalho Serviços;20;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;3;BVI;BELA VISTA;JDP;JARDIM PAULISTA
Trabalho Serviços;3;JDP;JARDIM PAULISTA;BVI;BELA VISTA
Trabalho Serviços;3;BVI;BELA VISTA;JDP;JARDIM PAULISTA
Trabalho Indústria;20;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;20;VSO;VILA SONIA;SAM;SANTO AMARO
Trabalho Serviços;40;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;10;INI;ITAIM BIBI;INI;ITAIM BIBI
Trabalho Serviços;35;VSO;VILA SONIA;BRE;BOM RETIRO
Trabalho Serviços;5;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;5;VSO;VILA SONIA;MOR;MORUMBI
Trabalho Serviços;60;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;30;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;40;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;40;VSO;VILA SONIA;fora_sp;Fora São Paulo
Trabalho Serviços;20;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;2;VSO;VILA SONIA;VSO;VILA SONIA
Trabalho Serviços;70;VSO;VILA SONIA;BVI;BELA VISTA
Trabalho Indústria;10;VSO;VILA SONIA;VAN;VILA ANDRADE
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Comércio;10;INI;ITAIM BIBI;PIN;PINHEIROS
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;60;VSO;VILA SONIA;REP;REPUBLICA
Trabalho Serviços;40;VSO;VILA SONIA;JDP;JARDIM PAULISTA
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;50;INI;ITAIM BIBI;PIN;PINHEIROS
Trabalho Serviços;30;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;20;VSO;VILA SONIA;INI;ITAIM BIBI
Trabalho Serviços;60;VSO;VILA SONIA;CON;CONSOLACAO
Trabalho Serviços;30;VSO;VILA SONIA;PIN;PINHEIROS
Trabalho Serviços;60;VSO;VILA SONIA;CON;CONSOLACAO
Trabalho Serviços;50;VSO;VILA SONIA;BVI;BELA VISTA
